game_id,week,team,epa_total,jogadas,epa_scrimmage,jogadas_scrimmage,season
2002_01_ARI_WAS,1,ARI,5.468632496500768,75,1.138523827140686,57,2002
2002_01_ARI_WAS,1,WAS,9.249635624321472,96,13.010421304754823,70,2002
2002_01_ATL_GB,1,ATL,22.05517740003468,77,18.193348239952897,57,2002
2002_01_ATL_GB,1,GB,20.575049116364045,97,15.127598449075744,76,2002
2002_01_BAL_CAR,1,BAL,-9.425963347886732,72,-1.279154984571866,54,2002
2002_01_BAL_CAR,1,CAR,-7.406075585742524,77,-2.909604923726847,55,2002
2002_01_DAL_HOU,1,DAL,-23.96381026473169,78,-10.863581962633143,57,2002
2002_01_DAL_HOU,1,HOU,-14.94512712376738,91,-21.048712695429213,63,2002
2002_01_DET_MIA,1,DET,1.8988287237229402,79,-3.5649653513683006,58,2002
2002_01_DET_MIA,1,MIA,28.57434990541607,88,22.34387222264195,66,2002
2002_01_IND_JAX,1,IND,8.458105082740603,76,6.099827310086239,60,2002
2002_01_IND_JAX,1,JAX,-37.80457721449746,86,-36.77858677708314,69,2002
2002_01_KC_CLE,1,CLE,17.685812570104247,82,11.186039954733648,62,2002
2002_01_KC_CLE,1,KC,22.85593524000497,86,21.973914954839245,60,2002
2002_01_MIN_CHI,1,CHI,8.518332155123456,78,5.6088015774157265,60,2002
2002_01_MIN_CHI,1,MIN,7.963631902050373,84,9.670282785409789,62,2002
2002_01_NO_TB,1,NO,4.743090986056167,97,4.078724787970203,78,2002
2002_01_NO_TB,1,TB,-5.849151644608091,103,-10.422861306933346,77,2002
2002_01_NYJ_BUF,1,BUF,3.4189904491364174,100,-0.227608582499224,75,2002
2002_01_NYJ_BUF,1,NYJ,13.45642956905105,72,-2.4711969493582604,48,2002
2002_01_PHI_TEN,1,PHI,4.90866357049566,83,-3.2790474977961885,64,2002
2002_01_PHI_TEN,1,TEN,6.27460695603113,81,5.735129242843533,60,2002
2002_01_PIT_NE,1,NE,3.119487406417134,84,-1.112283330682775,63,2002
2002_01_PIT_NE,1,PIT,-11.717069923106202,91,-11.595383439504076,67,2002
