season,week,real,modelo,spread,erro_modelo,erro_spread
2003,1,3.0,-0.7301520828646635,3.0,3.7301520828646635,0.0
2003,1,31.0,0.22333684450689395,1.0,30.776663155493107,30.0
2003,1,1.0,0.5306771980064651,4.0,0.46932280199353493,-3.0
2003,1,-20.0,-4.697436769296862,-6.0,-15.302563230703138,-14.0
2003,1,-3.0,1.931628796649313,-2.0,-4.9316287966493135,-1.0
2003,1,18.0,2.361742297174979,3.5,15.63825770282502,14.5
2003,1,-5.0,5.320843556054049,4.0,-10.320843556054049,-9.0
2003,1,13.0,5.225166170835646,4.5,7.774833829164354,8.5
2003,1,-1.0,8.789658129546703,14.0,-9.789658129546703,-15.0
2003,1,10.0,4.449124283923197,-1.0,5.550875716076803,11.0
2003,1,19.0,4.398515031601675,4.0,14.601484968398324,15.0
2003,1,-14.0,-3.942226001474564,2.0,-10.057773998525436,-16.0
2003,1,17.0,0.3711115258846469,3.0,16.628888474115353,14.0
2003,1,42.0,5.080563854255746,6.5,36.91943614574426,35.5
2003,1,5.0,-1.428260694432066,3.5,6.4282606944320655,1.5
2003,1,-17.0,2.276073682754222,3.0,-19.276073682754223,-20.0
2003,2,-2.0,6.896548228883847,3.0,-8.896548228883848,-5.0
2003,2,20.0,-0.2892394227482402,2.5,20.28923942274824,17.5
2003,2,25.0,5.72725805181953,7.0,19.27274194818047,18.0
2003,2,26.0,1.9143856555788605,2.5,24.08561434442114,23.5
2003,2,-21.0,-0.22018505021718449,-3.0,-20.779814949782814,-18.0
2003,2,21.0,2.7123232088821787,3.5,18.28767679111782,17.5
2003,2,21.0,5.075287245454873,8.0,15.924712754545126,13.0
2003,2,-11.0,1.799809758108908,-3.0,-12.799809758108909,-8.0
2003,2,3.0,-3.8434856681286726,3.0,6.843485668128673,0.0
2003,2,-38.0,-4.974878668995651,-5.0,-33.02512133100435,-33.0
2003,2,-3.0,9.737285002021673,9.0,-12.737285002021673,-12.0
2003,2,3.0,12.73867912057351,12.0,-9.73867912057351,-9.0
2003,2,-21.0,6.259473430916563,4.0,-27.259473430916564,-25.0
2003,2,-24.0,-2.5742448602440415,-3.0,-21.425755139755957,-21.0
2003,2,11.0,8.133570006761278,9.0,2.8664299932387216,2.0
2003,2,-3.0,8.213787654377683,7.5,-11.213787654377683,-10.5
2003,3,-21.0,0.1875173235172376,-6.5,-21.187517323517238,-14.5
2003,3,-7.0,-4.533788621863705,-4.5,-2.466211378136295,-2.5
2003,3,-10.0,-2.684941715886558,-4.0,-7.315058284113443,-6.0
2003,3,-28.0,-7.120937359743497,-7.5,-20.879062640256503,-20.5
2003,3,10.0,7.108493185284642,7.5,2.891506814715358,2.5
